"age","annual_salary","professional_experience_years","highest_edu_level","gender","industry","job_title"
"25-34",499945,"2 - 4 years","Master's degree","Woman","Nonprofits","Program Associate"
"25-34",65000,"8 - 10 years","Master's degree","Woman","Nonprofits","Communications Manager"
"35-44",92000,"11 - 20 years","Master's degree","Woman","Nonprofits","Director of Donor Relations"
"25-34",77500,"5-7 years","College degree","Woman","Engineering or Manufacturing","Environmental Planner"
"55-64",75000,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","VP-Marketing Director"
"25-34",41000,"2 - 4 years","College degree","Woman","Government and Public Administration","Business Office Coordinator"
"35-44",51100,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Project coordinator"
"45-54",109000,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","Executive Assistant"
"35-44",197500,"21 - 30 years","College degree","Woman","Business or Consulting","Senior Director"
"25-34",160000,"8 - 10 years","Master's degree","Woman","Marketing, Advertising & PR","Associate Brand Director"
"35-44",79000,"11 - 20 years","Master's degree","Woman","Nonprofits","Educational Curriculum Coordinator"
"25-34",70000,"8 - 10 years","Master's degree","Woman","Public Libraries","Youth Services Supervisor"
"55-64",140000,"21 - 30 years","College degree","Woman","Insurance","Product Manager"
"45-54",70300,"21 - 30 years","College degree","Woman","Marketing, Advertising & PR","Senior Project Manager"
"35-44",90898,"21 - 30 years","College degree","Woman","Medica education","Managing editor"
"45-54",180000,"21 - 30 years","PhD","Woman","Utilities & Telecommunications","Senior Data Scientist"
"35-44",127000,"11 - 20 years","Master's degree","Woman","Marketing, Advertising & PR","Assistant Vice President"
"35-44",75000,"5-7 years","Master's degree","Woman","Government and Public Administration","Director"
"25-34",34500,"5-7 years","College degree","Man","Agriculture or Forestry","Aquarist"
"25-34",161000,"8 - 10 years","College degree","Woman","Marketing, Advertising & PR","Marketing Manager"
"25-34",126500,"5-7 years","College degree","Woman","Computing or Tech","Senior Product Owner"
"25-34",135000,"2 - 4 years","Master's degree","Woman","Computing or Tech","Senior Data Scientist"
"18-24",52000,"2 - 4 years","College degree","Man","Health care","Clinical Lab Assistant II"
"25-34",45000,"11 - 20 years","College degree","Woman","Property or Construction","Inside quotations"
"35-44",220000,"11 - 20 years","Professional degree (MD, JD, etc.)","Man","Business or Consulting","Sr. Director"
"35-44",150000,"11 - 20 years","College degree","Man","Computing or Tech","Technology Manager"
"25-34",1e+05,"2 - 4 years","College degree","Man","Computing or Tech","Senior Product Specialist"
"45-54",85696,"31 - 40 years","Professional degree (MD, JD, etc.)","Woman","Nonprofits","Director of Operations"
"45-54",109000,"21 - 30 years","High School","Man","Insurance","Systems Engineer II"
"25-34",90000,"8 - 10 years","Master's degree","Woman","Recruitment or HR","Leadership Development Consultant"
"25-34",65000,"8 - 10 years","College degree","Woman","Nonprofits","Senior Editor"
"35-44",75000,"11 - 20 years","College degree","Woman","Hospitality & Events","Sales Analyst"
"35-44",78800,"11 - 20 years","College degree","Woman","Nonprofits","Advertising and Events Manager"
"25-34",90000,"11 - 20 years","College degree","Woman","Transport or Logistics","Marketing Manager"
"25-34",80000,"2 - 4 years","College degree","Woman","Computing or Tech","Software Developer"
"35-44",70000,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","Specialist, HR Systems and Projects"
"25-34",70000,"5-7 years","Master's degree","Woman","Media & Digital","Communications Specialist"
"25-34",85000,"5-7 years","College degree","Woman","Art & Design","senior graphic designer"
"25-34",170000,"2 - 4 years","College degree","Man","Computing or Tech","Software Engineer"
"25-34",70000,"5-7 years","College degree","Woman","Media & Digital","Associate Editor"
"35-44",110000,"8 - 10 years","Master's degree","Woman","Computing or Tech","Software Quality Assurance Manager"
"25-34",145000,"11 - 20 years","College degree","Man","Computing or Tech","Software developer"
"25-34",70000,"11 - 20 years","College degree","Woman","Utilities & Telecommunications","Customer Service Manager"
"55-64",35580,"31 - 40 years","College degree","Woman","Government and Public Administration","Secretary"
"35-44",1e+05,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Director of digital strategy"
"25-34",112000,"1 year or less","PhD","Woman","Engineering or Manufacturing","Optical Engineer II"
"45-54",64000,"31 - 40 years","College degree","Man","Transport or Logistics","manager"
"25-34",61000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Marketing Strategy Manager"
"25-34",175000,"8 - 10 years","College degree","Man","Computing or Tech","Software Developer"
"45-54",150000,"21 - 30 years","Master's degree","Woman","Computing or Tech","Senior Software Engineering Manager"
"25-34",47500,"2 - 4 years","College degree","Woman","Nonprofits","Data and Quality Assurance Manager"
"18-24",45000,"5-7 years","High School","Woman","Property or Construction","Executive Assistant"
"25-34",105000,"2 - 4 years","Master's degree","Woman","Engineering or Manufacturing","Product development engineer"
"55-64",82600,"31 - 40 years","College degree","Woman","Education (Higher Education)","Communication Specialist"
"25-34",104000,"5-7 years","College degree","Man","Political Campaigns","Campaign Manager"
"18-24",132000,"2 - 4 years","Master's degree","Woman","Computing or Tech","Machine Learning Engineer"
"45-54",165000,"21 - 30 years","College degree","Man","Marketing, Advertising & PR","Dir of Marketing"
"25-34",55000,"11 - 20 years","College degree","Woman","Health care","Administrative Associate"
"25-34",61000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Marketing Strategy Manager"
"25-34",69500,"5-7 years","College degree","Woman","Health care","Quality Manager"
"35-44",1e+05,"11 - 20 years","College degree","Woman","Transport or Logistics","Director of BDC & CRM"
"25-34",61000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Marketing Strategy Manager"
"45-54",230000,"21 - 30 years","College degree","Man","Computing or Tech","Principal Software Developer"
"55-64",135000,"21 - 30 years","Master's degree","Man","Computing or Tech","Senior Software Engineer"
"25-34",63500,"5-7 years","PhD","Woman","Education (Higher Education)","Program Manager"
"18-24",38000,"2 - 4 years","College degree","Woman","Retail","Fast Food Restaurant General Manager"
"25-34",92000,"5-7 years","College degree","Man","Media & Digital","News producer"
"18-24",53000,"2 - 4 years","College degree","Man","Accounting, Banking & Finance","Staff accountant"
"25-34",75000,"2 - 4 years","College degree","Man","Sales operations","Commissions Analyst"
"35-44",110000,"11 - 20 years","Master's degree","Woman","Computing or Tech","Instructional Designer II"
"45-54",105000,"21 - 30 years","College degree","Woman","Insurance","Senior Data Analyst"
"35-44",115000,"11 - 20 years","Master's degree","Woman","Nonprofits","Senior Manager"
"45-54",1e+05,"21 - 30 years","College degree","Woman","Computing or Tech","System Analyst"
"25-34",150000,"8 - 10 years","Master's degree","Woman","Marketing, Advertising & PR","Social Media Manager"
"35-44",2e+05,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","Chief of Staff"
"35-44",67000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Health care","Project Coordinator"
"25-34",58000,"5-7 years","College degree","Woman","Architecture","Interior Designer"
"35-44",130000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Deputy General Counsel"
"25-34",62000,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","professional faculty"
"25-34",95100,"8 - 10 years","College degree","Woman","Transport or Logistics","Planning Manager"
"25-34",41500,"2 - 4 years","Master's degree","Woman","Nonprofits","Minister of music and worship"
"35-44",40000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Admissions Coordinator"
"55-64",210000,"21 - 30 years","Master's degree","Woman","Accounting, Banking & Finance","Senior VP, Internal Communications"
"25-34",55000,"5-7 years","Master's degree","Man","Education (Higher Education)","Assistant Professor"
"25-34",41500,"2 - 4 years","Master's degree","Woman","Nonprofits","Minister of music and worship"
"25-34",38000,"2 - 4 years","Master's degree","Woman","Nonprofits","Communications Specialist"
"18-24",85000,"5-7 years","College degree","Woman","Health care","RN"
"25-34",61000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Marketing Strategy Manager"
"35-44",110000,"11 - 20 years","Master's degree","Man","Engineering or Manufacturing","Mechanical Engineer"
"35-44",63000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Digital Preservation Officer"
"25-34",41000,"2 - 4 years","Master's degree","Woman","Health care","Group Therapist"
"25-34",61000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Marketing Strategy Manager"
"45-54",287000,"21 - 30 years","College degree","Man","Computing or Tech","Senior staff software engineer"
"35-44",89000,"11 - 20 years","College degree","Woman","Nonprofits","Development Officer"
"25-34",2e+05,"8 - 10 years","College degree","Man","Computing or Tech","Senior Security Engineer"
"35-44",57000,"8 - 10 years","College degree","Woman","Computing or Tech","Quality Assurance Engineer/Scrum Master"
"35-44",145000,"21 - 30 years","Master's degree","Man","Government and Public Administration","Computer System Administrator"
"25-34",104000,"8 - 10 years","College degree","Woman","Computing or Tech","Product Owner"
"25-34",75000,"5-7 years","College degree","Woman","Engineering or Manufacturing","Senior Process Engineer"
"55-64",175000,"31 - 40 years","Master's degree","Woman","Health care","Associate Director"
"35-44",2e+05,"11 - 20 years","College degree","Woman","Computing or Tech","Director of Engineering"
"35-44",91000,"11 - 20 years","College degree","Woman","Insurance","Director of Operations"
"25-34",93000,"2 - 4 years","College degree","Woman","Computing or Tech","Software Engineer"
"35-44",44700,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Student Support Specialist (Academic Advisor)"
"35-44",90000,"11 - 20 years","College degree","Woman","Hospitality & Events","Director of Human Resources"
"25-34",36192,"2 - 4 years","Master's degree","Man","Library","Youth Services Outreach Assistant"
"25-34",30000,"2 - 4 years","Master's degree","Woman","Education (Higher Education)","Graduate Research Assistant"
"35-44",85000,"11 - 20 years","Master's degree","Man","Computing or Tech","Product Marketing Manager"
"35-44",156000,"11 - 20 years","College degree","Man","Computing or Tech","Staff Product Manager"
"25-34",60000,"5-7 years","College degree","Woman","Education (Higher Education)","Associate Marketing Director"
"35-44",48000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Administrative Support Specialist"
"35-44",104203,"21 - 30 years","College degree","Man","Computing or Tech","DevOps Architect"
"35-44",71100,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Digital Preservation Librarian"
"25-34",144000,"5-7 years","College degree","Woman","Computing or Tech","Software Engineer"
"35-44",75000,"11 - 20 years","College degree","Woman","Government and Public Administration","Senior Communication Specialist"
"25-34",66500,"5-7 years","College degree","Woman","Recruitment or HR","Account Manager"
"35-44",43000,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Youth services librarian"
"25-34",65000,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Product Marketer"
"35-44",87166,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Staff Engineer"
"35-44",63000,"21 - 30 years","College degree","Man","Computing or Tech","Software Dev"
"25-34",60200,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Health care","Medical Intern"
"25-34",84000,"8 - 10 years","College degree","Woman","Government and Public Administration","Executive Assistant to Agency Head"
"35-44",85000,"11 - 20 years","College degree","Woman","Retail","Executive Assistant - SVP"
"35-44",147000,"11 - 20 years","College degree","Man","Health care","Accessibility lead"
"35-44",185000,"21 - 30 years","Master's degree","Man","Engineering or Manufacturing","Senior Software Engineer"
"25-34",53000,"5-7 years","College degree","Woman","Health care","Medical Lab Technician, ASCP"
"25-34",142000,"8 - 10 years","College degree","Man","Computing or Tech","Engineering Manager"
"35-44",99000,"11 - 20 years","Master's degree","Woman","Transport or Logistics","Director - IT Strategy"
"25-34",74340,"11 - 20 years","College degree","Man","Computing or Tech","Operations Manager"
"35-44",63000,"5-7 years","College degree","Woman","Education (Higher Education)","Assistant Director of Development"
"25-34",110000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Content Editor"
"25-34",47000,"5-7 years","College degree","Woman","Accounting, Banking & Finance","Accounting Analyst"
"35-44",0,"21 - 30 years","Master's degree","Man","Marketing, Advertising & PR","Unemployed"
"35-44",190000,"11 - 20 years","College degree","Man","Computing or Tech","Data Architect"
"35-44",43000,"11 - 20 years","College degree","Man","Computing or Tech","Junior Developer"
"25-34",97500,"2 - 4 years","College degree","Man","Engineering or Manufacturing","Engineer"
"25-34",48000,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Strategist"
"45-54",95000,"11 - 20 years","Master's degree","Woman","Sales","Sales engineer"
"18-24",47840,"2 - 4 years","College degree","Woman","Art & Design","Design Assistant"
"35-44",66000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Clinical Assistant Professor"
"18-24",136000,"2 - 4 years","College degree","Man","Computing or Tech","Software engineer"
"55-64",162000,"21 - 30 years","College degree","Man","Media & Digital","Senior Software Engineer"
"35-44",2e+05,"11 - 20 years","College degree","Man","Computing or Tech","Principal Software Engineer"
"35-44",55000,"21 - 30 years","College degree","Man","Computing or Tech","MSP Engineer II"
"25-34",80000,"8 - 10 years","Master's degree","Woman","Art & Design","Architect"
"25-34",144055,"5-7 years","College degree","Woman","Computing or Tech","Software Development Engineer II"
"45-54",30800,"11 - 20 years","College degree","Woman","Health care","Billing specialist"
"25-34",61000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Marketing Strategy Manager"
"25-34",88000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","HR Manager"
"25-34",43000,"5-7 years","Master's degree","Woman","Library","Branch Manager"
"35-44",102500,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Attorney"
"25-34",52000,"1 year or less","College degree","Woman","Law","Summer Associate"
"45-54",126000,"21 - 30 years","Master's degree","Woman","Government and Public Administration","Analyst"
"55-64",68000,"8 - 10 years","College degree","Woman","Transport or Logistics","Office Manager"
"35-44",92700,"11 - 20 years","Master's degree","Woman","Utilities & Telecommunications","Senior Marketing Manager"
"35-44",101000,"11 - 20 years","High School","Man","Hospitality & Events","General Manager"
"45-54",135000,"21 - 30 years","College degree","Man","Computing or Tech","Manager, Technical Writing"
"45-54",101000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Director of Human Resources"
"25-34",70000,"8 - 10 years","College degree","Man","Computing or Tech","Data Analyst"
"25-34",41466,"5-7 years","College degree","Woman","Education (Primary/Secondary)","Teacher"
"35-44",145000,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Senior Business Development Manager"
"35-44",270000,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Law","Associate"
"25-34",58000,"2 - 4 years","College degree","Woman","Marketing, Advertising & PR","Junior Media Buyer"
"45-54",108000,"21 - 30 years","Master's degree","Woman","Business or Consulting","Director of Human Resources"
"25-34",74000,"8 - 10 years","Master's degree","Woman","Education (Primary/Secondary)","Senior Data Manager"
"25-34",520000,"5-7 years","College degree","Woman","Computing or Tech","Director"
"35-44",130000,"11 - 20 years","College degree","Woman","Sales","Sales executive"
"35-44",135000,"11 - 20 years","Master's degree","Man","Government and Public Administration","Analyst"
"25-34",150000,"5-7 years","College degree","Woman","Computing or Tech","Software development engineer"
"35-44",110000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","PR Manager (Account Supervisor)"
"25-34",52000,"2 - 4 years","College degree","Woman","Computing or Tech","Web Designer"
"25-34",1e+05,"8 - 10 years","College degree","Woman","Engineering or Manufacturing","Sr Mechanical Engineer"
"25-34",101000,"8 - 10 years","College degree","Woman","Computing or Tech","Quality Manager, Testing Captain, Team Lead"
"35-44",68640,"11 - 20 years","College degree","Woman","Health care","Assistant Nurse Manager"
"25-34",113000,"2 - 4 years","College degree","Woman","Computing or Tech","Software Engineer"
"35-44",62400,"11 - 20 years","College degree","Woman","Government and Public Administration","Contact Tracing Lead Investigator"
"25-34",61000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Marketing Strategy Manager"
"25-34",61000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Marketing Strategy Manager"
"25-34",60971,"2 - 4 years","College degree","Woman","Health care","registered nurse"
"25-34",38480,"8 - 10 years","College degree","Man","Education (Primary/Secondary)","Substitute Teacher"
"35-44",103690,"11 - 20 years","Master's degree","Man","Government and Public Administration","Budget Analyst"
"25-34",235000,"11 - 20 years","College degree","Man","Computing or Tech","Software Developer"
"25-34",65000,"8 - 10 years","Master's degree","Woman","Nonprofits","State Field Director"
"35-44",106000,"11 - 20 years","College degree","Man","Nonprofits","Senior Engineer"
"25-34",81000,"8 - 10 years","College degree","Woman","Computing or Tech","Software Quality Assurance and Release Manager"
"55-64",112000,"31 - 40 years","Master's degree","Woman","Computing or Tech","software engineer"
"25-34",55000,"2 - 4 years","College degree","Woman","Sales","Sales Analyst"
"25-34",220000,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Law","Attorney"
"25-34",165000,"2 - 4 years","PhD","Man","Computing or Tech","Data Scientist"
"35-44",90000,"11 - 20 years","Master's degree","Woman","Internet","Sr. Payroll Specialist"
"25-34",94000,"8 - 10 years","College degree","Man","Computing or Tech","Application Developer"
"35-44",102500,"11 - 20 years","Master's degree","Woman","Retail","Sr. IT Manager"
"35-44",125000,"11 - 20 years","College degree","Woman","Computing or Tech","Senior Software Engineer"
"25-34",171000,"5-7 years","College degree","Man","Computing or Tech","Software engineer"
"25-34",39000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Product Manager"
"25-34",33000,"5-7 years","College degree","Man","Marketing, Advertising & PR","Digital Marketing Manager"
"25-34",45000,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Sales & Marketing Manager"
"18-24",75000,"2 - 4 years","College degree","Woman","Biotech","Senior Research Associate"
"35-44",98000,"11 - 20 years","College degree","Woman","Recruitment or HR","HR Manager"
"35-44",135000,"21 - 30 years","College degree","Man","Computing or Tech","Software Development Engineer"
"25-34",50000,"2 - 4 years","College degree","Woman","Marketing, Advertising & PR","media finance analyst"
"55-64",125045,"41 years or more","Master's degree","Woman","Nonprofits","Director of Finance & Operations"
"35-44",50000,"21 - 30 years","College degree","Man","Auto Repair","Service Manager"
"25-34",65847,"5-7 years","Master's degree","Woman","Education (Higher Education)","Assistant Director of Communications"
"35-44",60000,"11 - 20 years","College degree","Woman","Recruitment or HR","Director of HR"
"25-34",61000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Marketing Strategy Manager"
"18-24",85000,"2 - 4 years","College degree","Man","Computing or Tech","Software Engineer"
"35-44",158000,"11 - 20 years","Master's degree","Man","Computing or Tech","Senior Software Engineer, Backend"
"25-34",117000,"11 - 20 years","Master's degree","Woman","Marketing, Advertising & PR","Associate Brand Manager"
"35-44",80200,"11 - 20 years","College degree","Man","Accounting, Banking & Finance","Financial Analyst II"
"25-34",104000,"5-7 years","College degree","Man","Computing or Tech","Senior Associate"
"35-44",152000,"11 - 20 years","Master's degree","Man","Computing or Tech","Sales Excellence Manager"
"35-44",40000,"11 - 20 years","College degree","Woman","Business or Consulting","Marketing Manager"
"35-44",150000,"11 - 20 years","Master's degree","Woman","Computing or Tech","VP, Learning and Development"
"35-44",225000,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Law","associate"
"35-44",63000,"11 - 20 years","Master's degree","Man","Engineering or Manufacturing","Civil Engineer"
"55-64",64000,"21 - 30 years","Master's degree","Woman","Nonprofits","Development Director"
"45-54",61500,"21 - 30 years","College degree","Woman","Computing or Tech","Technical Writer"
"35-44",242000,"11 - 20 years","College degree","Woman","Computing or Tech","VP Product Design"
"45-54",1e+05,"21 - 30 years","College degree","Woman","Business or Consulting","Executive Administrator"
"35-44",220000,"11 - 20 years","College degree","Man","Computing or Tech","Senior Product Line Manager"
"18-24",80000,"1 year or less","College degree","Woman","Engineering or Manufacturing","R&D Engineer"
"35-44",110000,"11 - 20 years","College degree","Man","Food/Quick Service Restaurant (QSR)","Product Owner"
"35-44",15000,"11 - 20 years","PhD","Man","Education (Higher Education)","Adjunct Instructor"
"45-54",41500,"21 - 30 years","College degree","Man","Insurance","Processing Center Rep"
"55-64",108000,"31 - 40 years","PhD","Man","Nonprofits","Director"
"35-44",65000,"11 - 20 years","College degree","Man","Marketing, Advertising & PR","Account Manager"
"25-34",44200,"5-7 years","Master's degree","Man","Nonprofits","Community Outreach Coordinator"
"25-34",84000,"11 - 20 years","College degree","Woman","Computing or Tech","Engineer"
"25-34",175000,"5-7 years","College degree","Man","Accounting, Banking & Finance","Sales and Trading"
"25-34",134000,"2 - 4 years","College degree","Man","Computing or Tech","Software Engineer"
"35-44",110000,"8 - 10 years","Master's degree","Woman","Entertainment","Director"
"25-34",70000,"11 - 20 years","College degree","Woman","Nonprofits","Director of Email Marketing & Sales Operations"
"25-34",110000,"8 - 10 years","College degree","Woman","Intelligence","All Source Intelligence Analyst"
"35-44",180000,"11 - 20 years","Master's degree","Woman","Nonprofits","Managing Director"
"25-34",50000,"5-7 years","Master's degree","Woman","Education (Higher Education)","Librarian"
"25-34",63000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Executive Admin"
"45-54",53500,"21 - 30 years","College degree","Woman","Government and Public Administration","Business manager"
"35-44",105000,"11 - 20 years","College degree","Woman","Computing or Tech","Community Program Manager"
"35-44",74098,"11 - 20 years","College degree","Woman","Recruitment or HR","HR Generalist"
"25-34",63000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Executive admin"
"18-24",71000,"2 - 4 years","Master's degree","Woman","Engineering or Manufacturing","Production engineer and supervisor"
"35-44",198000,"21 - 30 years","College degree","Man","Computing or Tech","Senior Product Manager"
"25-34",65000,"5-7 years","Master's degree","Woman","Engineering or Manufacturing","HR Generalist"
"35-44",46500,"11 - 20 years","College degree","Woman","Education (Higher Education)","Senior Administrative Assistant"
"25-34",37000,"5-7 years","College degree","Woman","Nonprofits","Development Associate"
"35-44",143000,"11 - 20 years","Master's degree","Woman","Accounting, Banking & Finance","Finance Manager"
"45-54",55000,"11 - 20 years","Master's degree","Woman","Transport or Logistics","HR Generalist"
"25-34",41241,"5-7 years","College degree","Man","Health care","Community Health Worker"
"25-34",42000,"2 - 4 years","Master's degree","Woman","Educational products","Research Assistant"
"25-34",148500,"5-7 years","College degree","Woman","Sales","Director, Business Development"
"35-44",120000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Controller"
"35-44",122000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Statistician"
"25-34",102000,"1 year or less","PhD","Man","Computing or Tech","Online Course Developer"
"45-54",93800,"21 - 30 years","College degree","Man","Engineering or Manufacturing","Talent Acquisition Advisor"
"35-44",76000,"11 - 20 years","Master's degree","Man","Public Library","Digital Librarian"
"25-34",110000,"5-7 years","Master's degree","Woman","Marketing, Advertising & PR","Brand Management"
"35-44",115000,"11 - 20 years","College degree","Man","Computing or Tech","Network Security Engineer"
"35-44",95000,"8 - 10 years","Master's degree","Woman","Sales","Sales Manager"
"25-34",35360,"8 - 10 years","College degree","Woman","Beauty Manufacturing & Education","Corporate Educator"
"35-44",50000,"8 - 10 years","College degree","Man","Health care","Quality assurance technician"
"35-44",86670,"11 - 20 years","Master's degree","Man","Education (Higher Education)","Library Assistant Director"
"35-44",60000,"11 - 20 years","College degree","Woman","Nonprofits","Director of Development and Communications"
"18-24",42000,"2 - 4 years","College degree","Woman","Nonprofits","Donation/Development Coordinator"
"35-44",172000,"11 - 20 years","College degree","Man","Computing or Tech","Staff Software Engineer"
"25-34",90300,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Business Analyst"
"25-34",45760,"5-7 years","College degree","Woman","Computing or Tech","Help Desk Technician"
"35-44",160000,"21 - 30 years","College degree","Man","Computing or Tech","Director of SaaS Infrastructure and Operations"
"35-44",140000,"11 - 20 years","Professional degree (MD, JD, etc.)","Man","Nonprofits","VP"
"35-44",80000,"11 - 20 years","College degree","Man","Computing or Tech","Help Desk Support Specialist"
"45-54",80000,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","Library department manager (non-IT)"
"18-24",13000,"5-7 years","High School","Woman","Hospitality & Events","Server"
"35-44",96160,"8 - 10 years","College degree","Man","Computing or Tech","Senior Advisor, Data Science"
"45-54",37000,"11 - 20 years","College degree","Woman","Law","Filing manager"
"25-34",120000,"5-7 years","College degree","Woman","Storage Facility","Owner"
"35-44",1e+05,"11 - 20 years","College degree","Woman","Computing or Tech","Na"
"35-44",170000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Dean of University Libraries"
"25-34",124000,"2 - 4 years","College degree","Woman","Engineering or Manufacturing","Software Engineer"
"25-34",60000,"8 - 10 years","Master's degree","Woman","Recruitment or HR","Recruiter"
"45-54",72000,"31 - 40 years","Master's degree","Woman","Education (Higher Education)","Writer"
"35-44",110000,"11 - 20 years","Master's degree","Woman","Health care","acupuncturist"
"25-34",38000,"2 - 4 years","College degree","Woman","Marketing, Advertising & PR","Creative Strategist"
"25-34",75000,"5-7 years","Master's degree","Woman","Nonprofits","Research Coordinator"
"25-34",92000,"8 - 10 years","Master's degree","Woman","Marketing, Advertising & PR","Director of Communications"
"35-44",2e+05,"8 - 10 years","Master's degree","Woman","Energy","Director"
"35-44",117000,"11 - 20 years","Master's degree","Man","Computing or Tech","Senior Data Scientist"
"25-34",85000,"1 year or less","Professional degree (MD, JD, etc.)","Man","Law","Associate Attorney"
"25-34",70000,"5-7 years","Master's degree","Woman","Computing or Tech","Data Analyst"
"35-44",126000,"21 - 30 years","College degree","Man","Retail","Director of Data and Reporting"
"25-34",45000,"5-7 years","Master's degree","Woman","Marketing, Advertising & PR","SEO Coordinator"
"25-34",50000,"11 - 20 years","Master's degree","Woman","Nonprofits","Librarian"
"25-34",19200,"11 - 20 years","High School","Man","Government and Public Administration","Admin Assistant"
"25-34",52000,"8 - 10 years","Master's degree","Woman","Museum (<20 employees)","Curator"
"35-44",89000,"11 - 20 years","Master's degree","Man","Education (Higher Education)","Library Department Head"
"45-54",76000,"5-7 years","College degree","Man","Computing or Tech","Business Analyst"
"45-54",63686,"21 - 30 years","Professional degree (MD, JD, etc.)","Woman","Education (Higher Education)","Associate Librarian"
"25-34",210000,"8 - 10 years","College degree","Man","Computing or Tech","Staff Software Engineering Manager"
"35-44",172500,"11 - 20 years","PhD","Woman","Law","Senior Counsel"
"35-44",106080,"21 - 30 years","Master's degree","Woman","Healthcare IT","Senior Human Resources and Internal Operatons Manager"
"55-64",269000,"31 - 40 years","PhD","Man","Education (Higher Education)","Chief Information Officer"
"25-34",59000,"2 - 4 years","PhD","Woman","science research","Postdoctoral research fellow"
"25-34",90000,"8 - 10 years","College degree","Woman","Recruitment or HR","HR Business Partner"
"35-44",41000,"11 - 20 years","College degree","Woman","Insurance","Case Coordinator"
"55-64",85000,"31 - 40 years","College degree","Woman","Health care","RN Case Manager"
"18-24",65000,"2 - 4 years","College degree","Woman","Business or Consulting","Underwriter"
"45-54",204000,"21 - 30 years","Master's degree","Man","Accounting, Banking & Finance","Director"
"18-24",72000,"1 year or less","College degree","Woman","Marketing, Advertising & PR","CPG Marketing Analyst"
"25-34",44900,"5-7 years","College degree","Man","Computing or Tech","Technical Support"
"25-34",58000,"8 - 10 years","College degree","Woman","Social Work","Provider Network Auditor"
"25-34",54000,"5-7 years","Master's degree","Woman","Nonprofits","Coordinator"
"35-44",107000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Director of Marketing and Communications"
"45-54",65000,"11 - 20 years","College degree","Woman","Computing or Tech","Frontend Designer"
"25-34",46500,"5-7 years","Master's degree","Woman","libraries","Collection Development Librarian"
"45-54",130000,"21 - 30 years","Master's degree","Man","Government and Public Administration","Director of IT"
"18-24",37440,"2 - 4 years","Master's degree","Woman","Health care","Clinical Research Associate"
"25-34",70000,"5-7 years","Master's degree","Woman","Marketing, Advertising & PR","Executive Administrator"
"25-34",24000,"8 - 10 years","College degree","Woman","Computing or Tech","Technical Support Specialist I"
"25-34",70000,"5-7 years","College degree","Man","Sales","Account Manager"
"35-44",112320,"11 - 20 years","PhD","Woman","Education (Higher Education)","Director of Research Development"
"25-34",85000,"11 - 20 years","College degree","Man","Engineering or Manufacturing","Controls Engineer"
